account_id,score,segment,shap_1_name,shap_1_value,shap_2_name,shap_2_value,shap_3_name,shap_3_value
1776,0.0582,Low,account_age_days,1.5293,avg_standing_order_amount,1.2014,avg_transaction_amount,0.7709
2228,0.8105,High,avg_standing_order_amount,3.0887,avg_monthly_transaction_count,2.8297,balance_volatility,2.0053
4727,0.3182,Low,avg_monthly_transaction_count,4.6503,avg_standing_order_amount,1.7651,district_avg_salary,-1.2857
2933,0.8113,High,avg_monthly_transaction_count,4.5834,avg_standing_order_amount,4.337,balance_volatility,2.7034
9472,0.739,High,avg_monthly_transaction_count,4.0248,avg_standing_order_amount,2.2357,balance_volatility,1.1824
10439,0.8116,High,avg_monthly_transaction_count,5.5474,avg_standing_order_amount,5.3041,district_avg_salary,-1.1134
1656,0.8116,High,avg_standing_order_amount,4.9091,avg_monthly_transaction_count,3.5736,standing_order_count,1.4257
8639,0.8114,High,avg_monthly_transaction_count,4.0135,account_age_days,2.2327,standing_order_count,2.094
3112,0.0565,Low,avg_monthly_transaction_count,3.8984,avg_balance,-2.1077,avg_standing_order_amount,-1.9857
6289,0.8112,High,standing_order_count,3.2747,avg_monthly_transaction_count,2.9208,balance_volatility,2.5149
10134,0.8118,High,avg_monthly_transaction_count,4.569,avg_standing_order_amount,4.2458,avg_transaction_amount,1.3569
9353,0.5701,Medium,avg_standing_order_amount,3.4933,avg_monthly_transaction_count,2.9011,standing_order_count,1.4484
4994,0.6345,Medium,balance_volatility,1.7322,avg_standing_order_amount,1.5747,avg_transaction_amount,1.1866
7713,0.8112,High,avg_standing_order_amount,4.2835,avg_monthly_transaction_count,-2.2827,avg_transaction_amount,2.0236
6706,0.0559,Low,avg_standing_order_amount,-2.8773,avg_monthly_transaction_count,2.5599,standing_order_count,-1.537
2545,0.8116,High,avg_monthly_transaction_count,7.3827,avg_standing_order_amount,2.1766,standing_order_count,1.7095
2622,0.8118,High,avg_standing_order_amount,5.209,avg_monthly_transaction_count,3.4446,standing_order_count,1.5134
2247,0.8115,High,avg_monthly_transaction_count,12.0671,avg_standing_order_amount,-1.1946,transaction_trend,-0.8295
1869,0.3088,Low,avg_transaction_amount,2.152,standing_order_count,1.7205,avg_standing_order_amount,1.1289
11065,0.0571,Low,standing_order_count,2.1008,account_age_days,-1.9414,avg_monthly_transaction_count,0.9127
3230,0.498,Medium,avg_monthly_transaction_count,2.0249,balance_volatility,1.6898,standing_order_count,1.5859
8026,0.0559,Low,avg_monthly_transaction_count,-3.5176,avg_transaction_amount,1.2556,avg_standing_order_amount,0.8922
3390,0.8117,High,avg_monthly_transaction_count,8.3132,transaction_trend,0.9593,account_age_days,0.9102
7181,0.5619,Medium,avg_monthly_transaction_count,10.8261,transaction_trend,-3.8652,avg_transaction_amount,0.8994
2705,0.8064,High,avg_standing_order_amount,4.8583,avg_monthly_transaction_count,4.3903,standing_order_count,1.0946
3747,0.8104,High,avg_monthly_transaction_count,5.2971,avg_balance,2.6404,avg_standing_order_amount,2.3173
675,0.8107,High,avg_monthly_transaction_count,3.7712,avg_standing_order_amount,2.4341,total_debit_amount,1.111
7637,0.8111,High,avg_standing_order_amount,3.6981,avg_monthly_transaction_count,3.3994,standing_order_count,2.0051
6138,0.8104,High,avg_standing_order_amount,4.525,avg_transaction_amount,2.4259,avg_monthly_transaction_count,-2.1284
10915,0.8119,High,avg_monthly_transaction_count,6.3655,avg_standing_order_amount,1.7781,standing_order_count,1.7445
10884,0.4803,Medium,avg_monthly_transaction_count,5.3304,avg_standing_order_amount,1.5626,avg_transaction_amount,0.9328
1819,0.8104,High,avg_monthly_transaction_count,3.7682,avg_standing_order_amount,2.0827,balance_volatility,2.0351
3942,0.8116,High,avg_standing_order_amount,4.712,avg_monthly_transaction_count,2.6314,avg_transaction_amount,1.1964
3916,0.8114,High,avg_standing_order_amount,3.6352,avg_monthly_transaction_count,3.3544,avg_balance,2.0535
9673,0.0582,Low,avg_monthly_transaction_count,1.7504,account_age_days,1.0334,avg_transaction_amount,0.5808
1068,0.1804,Low,avg_monthly_transaction_count,3.6838,avg_standing_order_amount,2.2105,transaction_trend,-1.1849
7184,0.8116,High,avg_monthly_transaction_count,8.7217,avg_transaction_amount,0.9229,transaction_trend,0.8393
7424,0.8119,High,avg_monthly_transaction_count,12.7712,avg_standing_order_amount,0.9909,transaction_trend,-0.7892
1978,0.8116,High,avg_monthly_transaction_count,7.1794,avg_standing_order_amount,3.2987,credit_debit_ratio,0.9611
10320,0.8113,High,avg_monthly_transaction_count,4.2501,avg_standing_order_amount,3.8417,standing_order_count,1.706
10345,0.811,High,avg_standing_order_amount,3.0162,avg_monthly_transaction_count,2.5668,avg_balance,2.1859
5215,0.8118,High,avg_monthly_transaction_count,14.3143,avg_standing_order_amount,-1.1852,transaction_trend,0.8181
5120,0.5961,Medium,avg_monthly_transaction_count,4.2291,avg_standing_order_amount,2.4128,balance_volatility,1.3711
3608,0.6548,Medium,avg_monthly_transaction_count,1.7879,balance_volatility,1.1808,avg_standing_order_amount,1.1033
4981,0.1203,Low,avg_standing_order_amount,2.4743,avg_monthly_transaction_count,2.0948,avg_transaction_amount,0.8472
6040,0.8104,High,avg_monthly_transaction_count,6.4551,credit_debit_ratio,1.643,total_transaction_count,1.0444
8051,0.0813,Low,account_age_days,-2.222,avg_standing_order_amount,1.9332,avg_monthly_transaction_count,1.4755
8713,0.8117,High,avg_monthly_transaction_count,5.1864,avg_standing_order_amount,2.0632,standing_order_count,1.8363
2982,0.8117,High,avg_monthly_transaction_count,12.4894,avg_balance,-1.2054,credit_debit_ratio,0.6931
3249,0.6535,Medium,avg_standing_order_amount,4.7126,avg_monthly_transaction_count,2.4614,standing_order_count,1.3211
5574,0.3613,Low,avg_standing_order_amount,4.3022,avg_monthly_transaction_count,3.3981,avg_transaction_amount,-1.59
9897,0.8113,High,avg_monthly_transaction_count,8.3121,avg_standing_order_amount,2.6182,credit_debit_ratio,1.1293
8982,0.8115,High,avg_monthly_transaction_count,5.5884,avg_standing_order_amount,2.9589,balance_volatility,1.7362
825,0.808,High,avg_standing_order_amount,4.9206,avg_monthly_transaction_count,4.4712,standing_order_count,1.0107
2753,0.8092,High,avg_monthly_transaction_count,2.9843,avg_standing_order_amount,2.939,avg_transaction_amount,1.3305
8899,0.8119,High,avg_monthly_transaction_count,11.8699,avg_standing_order_amount,0.9874,credit_debit_ratio,0.92
10361,0.8104,High,avg_standing_order_amount,4.0464,balance_volatility,2.8562,avg_transaction_amount,1.9625
785,0.8115,High,avg_standing_order_amount,4.4882,avg_monthly_transaction_count,3.2897,account_age_days,1.537
9156,0.061,Low,avg_monthly_transaction_count,-3.1597,avg_transaction_amount,1.9484,account_age_days,1.6991
4268,0.7037,High,avg_standing_order_amount,4.1834,avg_monthly_transaction_count,3.5665,credit_debit_ratio,-1.3154
3115,0.8109,High,avg_monthly_transaction_count,3.785,avg_standing_order_amount,3.2985,standing_order_count,1.3532
8169,0.8116,High,avg_monthly_transaction_count,4.6722,standing_order_count,2.0736,avg_balance,1.9489
1256,0.8098,High,avg_monthly_transaction_count,5.1806,avg_standing_order_amount,1.6922,avg_transaction_amount,1.1094
3460,0.8113,High,balance_volatility,3.4173,avg_transaction_amount,2.4318,avg_standing_order_amount,1.9271
1389,0.8117,High,avg_standing_order_amount,5.4604,avg_monthly_transaction_count,5.3938,balance_volatility,1.5081
1329,0.8115,High,avg_monthly_transaction_count,3.9062,avg_standing_order_amount,2.5708,standing_order_count,2.3556
10233,0.8108,High,avg_monthly_transaction_count,6.625,credit_debit_ratio,1.1236,avg_transaction_amount,1.0238
9263,0.8119,High,avg_monthly_transaction_count,7.4344,avg_standing_order_amount,2.6994,credit_debit_ratio,0.9942
6686,0.056,Low,avg_monthly_transaction_count,-2.4412,credit_debit_ratio,0.9053,avg_transaction_amount,0.8061
940,0.056,Low,avg_balance,-1.9673,balance_volatility,1.0925,avg_standing_order_amount,0.9839
6440,0.8116,High,balance_volatility,2.6309,avg_standing_order_amount,1.9646,avg_transaction_amount,1.8305
10243,0.812,High,avg_monthly_transaction_count,7.78,district_avg_salary,1.8913,avg_standing_order_amount,1.7575
2445,0.8112,High,avg_monthly_transaction_count,3.236,balance_volatility,2.0576,avg_standing_order_amount,1.9056
10788,0.2242,Low,avg_monthly_transaction_count,2.1671,standing_order_count,1.4195,balance_volatility,1.2806
5263,0.8107,High,avg_monthly_transaction_count,4.1694,avg_standing_order_amount,2.5427,total_debit_amount,1.0955
6453,0.0559,Low,avg_standing_order_amount,-3.8812,avg_monthly_transaction_count,3.8349,district_urban_ratio,-0.6946
11096,0.8115,High,avg_standing_order_amount,4.4723,avg_monthly_transaction_count,3.3028,account_age_days,1.2474
9208,0.8117,High,avg_monthly_transaction_count,6.7172,avg_standing_order_amount,2.1619,avg_transaction_amount,1.3377
9037,0.8015,High,avg_monthly_transaction_count,5.6487,avg_standing_order_amount,2.8623,total_debit_amount,0.9715
6273,0.8112,High,avg_monthly_transaction_count,3.9432,standing_order_count,1.8742,balance_volatility,1.7947
6061,0.8104,High,avg_standing_order_amount,2.598,avg_monthly_transaction_count,2.1027,account_age_days,1.6252
1528,0.8111,High,avg_monthly_transaction_count,4.7281,avg_standing_order_amount,1.8236,standing_order_count,1.5151
915,0.8105,High,avg_monthly_transaction_count,5.7647,avg_standing_order_amount,1.6406,standing_order_count,1.2533
10940,0.7927,High,avg_standing_order_amount,4.6951,avg_monthly_transaction_count,3.8736,standing_order_count,0.8721
4190,0.7735,High,avg_monthly_transaction_count,8.0297,avg_standing_order_amount,1.433,credit_debit_ratio,0.5231
9646,0.8112,High,avg_standing_order_amount,4.8452,avg_transaction_amount,3.497,balance_volatility,2.5614
2572,0.7901,High,avg_monthly_transaction_count,4.7647,avg_standing_order_amount,2.6779,balance_volatility,1.217
2352,0.0561,Low,avg_monthly_transaction_count,5.1611,avg_standing_order_amount,-2.3458,standing_order_count,-0.9194
7562,0.7631,High,avg_standing_order_amount,3.0668,avg_monthly_transaction_count,2.2551,avg_transaction_amount,1.5975
2262,0.2966,Low,avg_monthly_transaction_count,3.68,avg_standing_order_amount,3.4026,balance_volatility,2.3404
7819,0.8119,High,avg_monthly_transaction_count,13.0113,avg_standing_order_amount,-1.5498,standing_order_count,1.2568
5269,0.7813,High,avg_monthly_transaction_count,4.8991,avg_standing_order_amount,2.0298,min_balance_ever,0.9287
6592,0.8114,High,avg_monthly_transaction_count,6.042,avg_standing_order_amount,4.5298,avg_transaction_amount,-1.0028
6555,0.7673,High,avg_standing_order_amount,2.8477,avg_monthly_transaction_count,2.7651,balance_volatility,2.2349
2227,0.8114,High,avg_standing_order_amount,4.7136,avg_monthly_transaction_count,4.3237,balance_volatility,1.3675
3050,0.8089,High,avg_monthly_transaction_count,10.2823,avg_standing_order_amount,2.6732,balance_volatility,0.7651
6924,0.8112,High,avg_monthly_transaction_count,5.255,avg_standing_order_amount,3.6951,credit_debit_ratio,1.048
8776,0.8113,High,avg_monthly_transaction_count,4.3646,standing_order_count,2.645,avg_balance,1.0347
8688,0.8111,High,avg_monthly_transaction_count,5.1594,avg_standing_order_amount,2.947,account_age_days,1.146
10215,0.8113,High,avg_monthly_transaction_count,4.7992,avg_balance,1.0936,avg_standing_order_amount,1.0566
5650,0.8119,High,avg_monthly_transaction_count,5.6616,avg_standing_order_amount,5.0116,standing_order_count,1.0927
4852,0.7442,High,avg_standing_order_amount,3.6607,avg_monthly_transaction_count,3.6061,standing_order_count,1.2045
4456,0.8116,High,avg_monthly_transaction_count,5.0228,avg_standing_order_amount,3.4148,balance_volatility,1.8687
3137,0.056,Low,avg_monthly_transaction_count,-2.7204,avg_transaction_amount,0.9144,avg_standing_order_amount,0.6575
6030,0.8114,High,avg_standing_order_amount,2.9474,avg_transaction_amount,2.8413,standing_order_count,1.8494
10942,0.8116,High,avg_monthly_transaction_count,6.6075,avg_standing_order_amount,5.0751,district_avg_salary,1.7108
10905,0.0559,Low,avg_monthly_transaction_count,2.9977,credit_debit_ratio,-1.6016,transaction_trend,-1.2034
5628,0.056,Low,balance_volatility,-0.9078,avg_transaction_amount,0.6774,avg_balance,0.4686
1004,0.8111,High,avg_monthly_transaction_count,4.4952,avg_standing_order_amount,3.2191,balance_volatility,1.5108
10022,0.8026,High,avg_monthly_transaction_count,5.1841,avg_standing_order_amount,4.691,standing_order_count,1.058
2268,0.8092,High,avg_monthly_transaction_count,3.0214,avg_standing_order_amount,1.8997,avg_transaction_amount,1.3912
4423,0.8107,High,avg_monthly_transaction_count,4.3734,balance_volatility,2.2097,avg_transaction_amount,1.2973
